Epoch [11/200], Step [400/600], d_loss: 0.3858, g_loss: 1.8729, D(x): 0.72, D(G(z)): 0.30
Epoch [11/200], Step [450/600], d_loss: 0.3572, g_loss: 1.7977, D(x): 0.77, D(G(z)): 0.32
Epoch [11/200], Step [500/600], d_loss: 0.3235, g_loss: 1.5480, D(x): 0.76, D(G(z)): 0.26
Epoch [11/200], Step [550/600], d_loss: 0.3408, g_loss: 1.8819, D(x): 0.71, D(G(z)): 0.24
Epoch [11/200], Step [600/600], d_loss: 0.2682, g_loss: 1.5118, D(x): 0.87, D(G(z)): 0.28
Epoch [12/200], Step [50/600], d_loss: 0.3423, g_loss: 1.7004, D(x): 0.75, D(G(z)): 0.28
Epoch [12/200], Step [100/600], d_loss: 0.4012, g_loss: 1.8521, D(x): 0.63, D(G(z)): 0.22
Epoch [12/200], Step [150/600], d_loss: 0.4074, g_loss: 1.8979, D(x): 0.67, D(G(z)): 0.27
Epoch [12/200], Step [200/600], d_loss: 0.3336, g_loss: 2.0629, D(x): 0.72, D(G(z)): 0.23
Epoch [12/200], Step [250/600], d_loss: 0.2923, g_loss: 1.4528, D(x): 0.78, D(G(z)): 0.24
Epoch [12/200], Step [300/600], d_loss: 0.3477, g_loss: 1.7918, D(x): 0.67, D(G(z)): 0.21
Epoch [12/200], Step [350/600], d_loss: 0.3925, g_loss: 1.4149, D(x): 0.68, D(G(z)): 0.26
Epoch [12/200], Step [400/600], d_loss: 0.4578, g_loss: 1.2254, D(x): 0.70, D(G(z)): 0.33
Epoch [12/200], Step [450/600], d_loss: 0.3452, g_loss: 1.4107, D(x): 0.76, D(G(z)): 0.29
Epoch [12/200], Step [500/600], d_loss: 0.3829, g_loss: 1.9069, D(x): 0.71, D(G(z)): 0.29
Epoch [12/200], Step [550/600], d_loss: 0.4463, g_loss: 1.6804, D(x): 0.62, D(G(z)): 0.27
Epoch [12/200], Step [600/600], d_loss: 0.3260, g_loss: 1.5925, D(x): 0.76, D(G(z)): 0.27
Epoch [13/200], Step [50/600], d_loss: 0.2554, g_loss: 1.5992, D(x): 0.78, D(G(z)): 0.19
Epoch [13/200], Step [100/600], d_loss: 0.3961, g_loss: 1.5476, D(x): 0.67, D(G(z)): 0.24
Epoch [13/200], Step [150/600], d_loss: 0.3731, g_loss: 1.4653, D(x): 0.74, D(G(z)): 0.29
Epoch [13/200], Step [200/600], d_loss: 0.3490, g_loss: 1.7057, D(x): 0.70, D(G(z)): 0.22
Epoch [13/200], Step [250/600], d_loss: 0.3818, g_loss: 1.3516, D(x): 0.76, D(G(z)): 0.33
Epoch [13/200], Step [300/600], d_loss: 0.3324, g_loss: 1.4387, D(x): 0.74, D(G(z)): 0.26
Epoch [13/200], Step [350/600], d_loss: 0.4103, g_loss: 2.1851, D(x): 0.61, D(G(z)): 0.18
Epoch [13/200], Step [400/600], d_loss: 0.4410, g_loss: 1.3151, D(x): 0.65, D(G(z)): 0.30
Epoch [13/200], Step [450/600], d_loss: 0.4126, g_loss: 1.4764, D(x): 0.74, D(G(z)): 0.33
Epoch [13/200], Step [500/600], d_loss: 0.2509, g_loss: 1.6150, D(x): 0.80, D(G(z)): 0.21
Epoch [13/200], Step [550/600], d_loss: 0.4517, g_loss: 1.4241, D(x): 0.67, D(G(z)): 0.32
Epoch [13/200], Step [600/600], d_loss: 0.4490, g_loss: 1.7203, D(x): 0.65, D(G(z)): 0.30
Epoch [14/200], Step [50/600], d_loss: 0.3918, g_loss: 1.6721, D(x): 0.71, D(G(z)): 0.29
Epoch [14/200], Step [100/600], d_loss: 0.4262, g_loss: 1.3897, D(x): 0.77, D(G(z)): 0.38
Epoch [14/200], Step [150/600], d_loss: 0.3478, g_loss: 1.3621, D(x): 0.75, D(G(z)): 0.27
Epoch [14/200], Step [200/600], d_loss: 0.4161, g_loss: 1.6221, D(x): 0.74, D(G(z)): 0.34
Epoch [14/200], Step [250/600], d_loss: 0.4201, g_loss: 1.7098, D(x): 0.65, D(G(z)): 0.25
Epoch [14/200], Step [300/600], d_loss: 0.4291, g_loss: 2.0552, D(x): 0.79, D(G(z)): 0.38
Epoch [14/200], Step [350/600], d_loss: 0.3106, g_loss: 1.3085, D(x): 0.84, D(G(z)): 0.31
Epoch [14/200], Step [400/600], d_loss: 0.3042, g_loss: 2.2301, D(x): 0.75, D(G(z)): 0.22
Epoch [14/200], Step [450/600], d_loss: 0.3734, g_loss: 1.5272, D(x): 0.80, D(G(z)): 0.35
Epoch [14/200], Step [500/600], d_loss: 0.3117, g_loss: 1.5816, D(x): 0.74, D(G(z)): 0.23
Epoch [14/200], Step [550/600], d_loss: 0.3032, g_loss: 1.3705, D(x): 0.74, D(G(z)): 0.22
Epoch [14/200], Step [600/600], d_loss: 0.3723, g_loss: 1.4006, D(x): 0.74, D(G(z)): 0.28
Epoch [15/200], Step [50/600], d_loss: 0.3386, g_loss: 1.5138, D(x): 0.77, D(G(z)): 0.28
Epoch [15/200], Step [100/600], d_loss: 0.3647, g_loss: 2.3478, D(x): 0.70, D(G(z)): 0.25
Epoch [15/200], Step [150/600], d_loss: 0.2945, g_loss: 1.1900, D(x): 0.82, D(G(z)): 0.26
Epoch [15/200], Step [200/600], d_loss: 0.3575, g_loss: 1.3856, D(x): 0.71, D(G(z)): 0.24
Epoch [15/200], Step [250/600], d_loss: 0.3504, g_loss: 1.2551, D(x): 0.66, D(G(z)): 0.19
Epoch [15/200], Step [300/600], d_loss: 0.3833, g_loss: 1.7144, D(x): 0.64, D(G(z)): 0.21
Epoch [15/200], Step [350/600], d_loss: 0.3186, g_loss: 1.6105, D(x): 0.74, D(G(z)): 0.22
Epoch [15/200], Step [400/600], d_loss: 0.3232, g_loss: 1.6001, D(x): 0.79, D(G(z)): 0.28
